publishedAt,videoId,authorDisplayName,textDisplay,likeCount
2025-03-27T16:03:56Z,ygcodv_xrUE,@apriliasulistiyani8553,Bang bobon kereen,0
2025-03-27T16:03:47Z,ygcodv_xrUE,@hanyauntukbersenangsenang4914,Btw siapa si will salim,0
2025-03-27T16:03:25Z,ygcodv_xrUE,@dalmanabdullah2702,Sama bon saya juga ngak suka,0
2025-03-27T16:03:25Z,ygcodv_xrUE,@valtt4845,"Gak usah banyak ngomong lu wil, lu cuma mikirin kontan konten dan pengen nambah viewer, gak usah mencla mencle kalau ngomong<br>Lu kayak bocah kayak kemarin sore wil",0
2025-03-27T16:03:16Z,ygcodv_xrUE,@adiiskandar5020,Wili muter muter sii😅,1
2025-03-27T16:01:16Z,ygcodv_xrUE,@fajarmaulana698,Saya setuju ini setingan <br>Jawaban nya bertele tele <br>Bobon nanya apa di jawab apa kayak mengalihkan pertanyaan,0
2025-03-27T16:01:13Z,ygcodv_xrUE,@liliulil9062,Ngomong aja kayak tokek manggil namanya sendiri 😩,0
2025-03-27T15:59:31Z,ygcodv_xrUE,@sakahayang698,Yg lagi liat sekarang komen dong😅,0
2025-03-27T15:59:18Z,ygcodv_xrUE,@BellaQuen-q8t,Geregettttt si Wili di tanya a jwb b,3
2025-03-27T15:59:13Z,ygcodv_xrUE,@taufikfirmansyah1849,"Haduhh masalah ga penting, mending bahas RUU TNI POLRI deh polisi pada nyulik demonstran,mukul tim medis, berita ga penting",0
2025-03-27T15:59:03Z,ygcodv_xrUE,@PutraMedan-s5i,Jangankan maling rendanh copet hp itu mereka ahli bgt.,0
2025-03-27T15:58:37Z,ygcodv_xrUE,@BobiJaya-j9v,ati ati es kau samo wong palembang nih,1
2025-03-27T15:58:15Z,ygcodv_xrUE,@diannugraha1429,Keliatan cari muka  lu bobon🤣,0
2025-03-27T15:58:11Z,ygcodv_xrUE,@hawanaulandari8821,Udahlah jujur ama gaknya keliatan<br> Intinya kalok bener2 hilang ya jngan bawa2 nama daerah.,0
2025-03-27T15:58:02Z,ygcodv_xrUE,@YayanJepret,Engga akan bisa willie konten masak .. bobon senior banget kalo soal konten masak 🤙🏽<br><br>Udah will konten bagi ipone aja sama bagi bagi duit aja jangan konten masak engga nyambung wkwk 🤣🤣,0
2025-03-27T15:57:54Z,ygcodv_xrUE,@ariebahari1566,Wajar lah orang ga suka pasti jelek dimata nya.,0
2025-03-27T15:57:51Z,ygcodv_xrUE,@dennybugistv5124,semudah ini Allah membuka kebusukan nya willi salim 😊😊,2
2025-03-27T15:57:29Z,ygcodv_xrUE,@rfariyando5112,"Perasaan di bkb tmpat masaknya ada 2 tempat toilet terdekat, bisa juga di toilet j-co",0
2025-03-27T15:56:17Z,ygcodv_xrUE,@nduoksemot9813,"Willie :Sejujur sejujurnya gue bikin konten ni,ya karna emang suka berbagi=TaEk💩",0
2025-03-27T15:56:03Z,ygcodv_xrUE,@awaskebanned2219,yapping,1
2025-03-27T15:55:06Z,ygcodv_xrUE,@FairelKavi,Tombol unfollow Willy 👇,1
2025-03-27T15:53:57Z,ygcodv_xrUE,@Ardi-d9o,Assallamuallaikum wil.<br>Respec bon..,0
2025-03-27T15:52:25Z,ygcodv_xrUE,@parjo1218,Di tanya belajar dari mana masak besar dia bilang belajar sendiri. Kita liat berapa lama dia bertahan dengan konten masak besarnya. Bedakan dengan bang bobon yang memang dari dulu konsisten dengan hati,0
2025-03-27T15:50:58Z,ygcodv_xrUE,@dimaskurniawan6147,dihipnotis aja om ded wilie salim ntar ngaku 😆,0
2025-03-27T15:50:26Z,ygcodv_xrUE,@InaB9724,Ko bobon ttp dihati ❤,0
2025-03-27T15:50:12Z,ygcodv_xrUE,@Bang_yuda07,Di banned 🚫 Willie salim harusnya dari sosmed,1
2025-03-27T15:50:12Z,ygcodv_xrUE,@novikaeffendy6110,Bocahh banget ini WS nyaa,0
2025-03-27T15:48:52Z,ygcodv_xrUE,@nurindahnuri7827,Pegel banget punggung om ded dengerin tlpon 😂,0
2025-03-27T15:47:50Z,ygcodv_xrUE,@ekoagus36,Bagi saya.konten willi salim.atta halilintar.raffi ahmad dan konco konconya itu sampah.mending liat konten pak deddy mulyadi,0
2025-03-27T15:47:11Z,ygcodv_xrUE,@BobiJaya-j9v,KAU BALEK LAGI KE PALEMBANG TUJAH WONG DARI BELAKANG ES !,0
2025-03-27T15:44:18Z,ygcodv_xrUE,@nurindahnuri7827,Kenapa gak Dateng aja kalo mau d dengerin mah 😂,0
2025-03-27T15:44:17Z,ygcodv_xrUE,@yadin6639,"Husnuz zhon aja dengan willi salim, kang bobon jg coba husnuz zhon aja, krn husnus zhon gk jadi dosa, klo su&#39;uz zhon bisa jadi fitnah dan berdosa",0
2025-03-27T15:43:35Z,ygcodv_xrUE,@Mr_Lpn,Suaranya aja udah kaya nangis gitu.. Banci,0
2025-03-27T15:43:34Z,ygcodv_xrUE,@septiananurfatimah4438,"Bilang anak panti pinggir pinggir jalan bukan si, apa kuping AQ yg salah denger",0
2025-03-27T15:42:39Z,ygcodv_xrUE,@nurindahnuri7827,Dengerin pas telpon betenya nyampe ke penonton 😂,0
2025-03-27T15:42:31Z,ygcodv_xrUE,@RahmadGunawan-l9x,"Bisa mati wili salim kalau ngaku settingan pertama warga palembang termasuk saya marah besar kedua ada polisi yg di suruh &quot;pasti dibayar&quot; buat sekenario ini, gue tahu uang lho bnyk bisa bungkam sana sini",0
2025-03-27T15:42:03Z,ygcodv_xrUE,@Viant_Poenya,Kali ini WS blunder setidaknya datang ke podcast kasih penjelasan dan ambil ilmu dari orang yang sudah biasa untuk masak besar dulu baru bikin konten masak besar lagi. Bukan malah bikin konten masak besar lagi di saat masalahnya lagi di sorot.,0
2025-03-27T15:41:34Z,ygcodv_xrUE,@jefflubis9695,"Bobon : &quot;Anjirr..Gw ga ada alasan untuk menyukai orang ini (Willy Salim)...&quot;,kog sama bgt dgn saya...",0
2025-03-27T15:41:09Z,ygcodv_xrUE,@Wijaya80s,"WILLIE. SEMUA KONTEN LU SAMPAH, GA GUNA LO NYET",0
2025-03-27T15:41:09Z,ygcodv_xrUE,@ripqiataillah832,Gw respect semuanya yg penting berbagi,0
2025-03-27T15:37:52Z,ygcodv_xrUE,@alvinstore4561,Jangan kasih panggung lahh orang kaya gitu,0
2025-03-27T15:37:40Z,ygcodv_xrUE,@WHjaya,Siapa sih willy itu bro ?,0
2025-03-27T15:36:43Z,ygcodv_xrUE,@Volariumee,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=1827"">30:27</a> seketika om ded mengheningkan cipta",1
2025-03-27T15:36:32Z,ygcodv_xrUE,@nikenayukpuspitasari5770,Wiliysalim kemarin muncul di tv berita heboh krn rendangnya ilang. Aku berpikir kok bisa ilang sih padahal 1 ekor sapi trs knp gk ada dri tim nya yg ngasih tau warga atau mungkin klo emng kejadian knp gk direkam sm timnya willy pas terjadinya pencolongan rendang oleh warga. Aku nya terheran&quot; walau beritanya udh lewat pun bisa&quot;nya ilang😂,0
2025-03-27T15:34:56Z,ygcodv_xrUE,@masbandotmotorvloghd8787,Udah fiks setingan sih itu Willy di telpon aja muter gitu jawaban nya nya😅😅,0
2025-03-27T15:34:55Z,ygcodv_xrUE,@econrompas2679,"MENIT <a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=107820"">29:57:00</a>  &quot;SKENARIO&quot; ujar Willie , artinya SESUAI SKENARIO AJA 😂😂😂",0
2025-03-27T15:32:10Z,ygcodv_xrUE,@griscabella1999,Maaf Bang Willie… jangan datang ke kota Lampung ya 🙏🏻<br>Kota ku udah cukup tercoreng namanya. Gak tau gimana jadi kalau sampai kedatangan Bang Willie 😊<br>Kayanya emang lebih baik fokus berkonten di daerah-daerah yang ada di pulau Jawa aja deh ☺️,0
2025-03-27T15:32:05Z,ygcodv_xrUE,@MsBandi11,"Masya Allah saudara kita bang bobon semakin dewasa, dan semakin lebih baik... barokallahufiik bang bobon semoga Allah jaga antum dan keluarga antum",0
2025-03-27T15:31:56Z,ygcodv_xrUE,@egisetiawan294,Dari pertama liat konten willi jujur saya kurang suka si,0
2025-03-27T15:30:55Z,ygcodv_xrUE,@nofitasari9631,"Muter muter, sampe cepetin 1.5 x",0
2025-03-27T15:30:12Z,ygcodv_xrUE,@MuhammadYusufsyahbani,Bruh,0
2025-03-27T15:29:37Z,ygcodv_xrUE,@LenFalen,Om Dedy nahan ketawa dari tadi😂😂,9
2025-03-27T15:28:23Z,ygcodv_xrUE,@naufal_el,Willy salim lala lolo wkwkwk..,0
2025-03-27T15:25:45Z,ygcodv_xrUE,@Rizazhu,"Willy kebelet cari toilet, tapi jauh dan gak jadi. Jadi ke mobil makan dan istirahat karena seharian belum makan. 🤣",0
2025-03-27T15:25:38Z,ygcodv_xrUE,@meilensusanti,"Bnr kata om det sma bang bobon, bnyk ko, di tmpt2 laen misal klo bagi2 gitu, klo di biarin bisa kao. Bnr jgn bikin seolah olah warga palembang ajehh yg rusuh klo bagi2 semuanya jg rusuh tergantung syp yg ngontrol yahh",0
2025-03-27T15:25:35Z,ygcodv_xrUE,@nisachacha5344,pertanyaan sama jawabannya ga nyambung (tidak to do point) 😅,0
2025-03-27T15:25:27Z,ygcodv_xrUE,@YusupAep-z2u,Blokir smua akun Willi salim,0
2025-03-27T15:24:11Z,ygcodv_xrUE,@adiansyahadiansyah5945,orang salah biasa takut.. wkwkwk,0
2025-03-27T15:23:37Z,ygcodv_xrUE,@abahrawitjember522,Lagsung unsubcribe yt willi gaes,0
2025-03-27T15:23:02Z,ygcodv_xrUE,@Carli98-ku4fj,"Klo gk punya ide buat konten jangan ngikut orang punya konten <br>     Kata nya sultan yag kaya,, bagi² handphone,masa bikin konten jiplak orang punya waras gk sih Lu😂😂😂otak itu pake jangan hanya simpan 😅😅😅",0
2025-03-27T15:21:30Z,ygcodv_xrUE,@r1f69,"Willie salim itu bukan  konten  kreator ecek ecek , dia itu punya tim .....yg jadi pertanyaan kenapa pas willie salim ijin ke mobil atau toilet , masa gk ada salah satu tim yg jagain itu rendang atau setidaknya ada kamera yg on ketika warga mengambil sendri itu rendang ....jadi menurut saya ini fix setingan",0
2025-03-27T15:21:24Z,ygcodv_xrUE,@sahrilmbong9445,Wiily alay,0
2025-03-27T15:20:18Z,ygcodv_xrUE,@rcah7956,"Willie ini Typical anak gedongan yg jarang gaul sama orang kebanyakan, gak punya rasa simpati dan empati, tidak punya sensitifitas thd lingkungan, tidak paham situasi dan kondisi yg sedang terjadi. Sehingga bagi orang waras spt kita gak bakalan bisa mencerna pola pikir dia. 🤦",0
2025-03-27T15:19:50Z,ygcodv_xrUE,@Themezzaninebalikpapan,DISINI AKU BELAJAR.. TERNYATA BENAR.. KITA TIDAK PELRU MENJELASKAN TENTANG DIRI KITA.. KARENA YANG MENYUKAIMU BAHKAN TIDAK PERLU MENDENGARKAN PENJELASAN MU.. DAN YANG TIDAK MENYUKAI KITA TIDAK AKAN PERNAH PERCAYA DENGAN PENJELASAN KITA.<br><br><br>Semoga anak semuda willie salim dapat terus berkembang dan bertumbuh jadi pribadi yang lebih baik .. karena anak anak muda kedepanya yang akan pegang kendali dunia.. terus bermanfaat willie salim. God Bless U!!,0
2025-03-27T15:19:43Z,ygcodv_xrUE,@DimasOrca-j8p,Gue si skip langsung kalau ketemu di short video atau iklan bila isinya si kiwill,0
2025-03-27T15:18:59Z,ygcodv_xrUE,@trilette9376,Bang Bobon kaya nahan nangis dan kesal😢,0
2025-03-27T15:18:41Z,ygcodv_xrUE,@muhammadsyahrillah3712,"Bobon santoso saudara se iman gua. Willy salim juga sama, gua pingi  keduanya damai dan akur....",0
2025-03-27T15:18:15Z,ygcodv_xrUE,@Mhmadventure31,"Konten Itu penuh kepalsuan akan ketulusan ,  Niat dan Tujuan hanya selalu kau dan tuhan yang tahu , Jujur lebih sulit terucap hanya karena reputasi hancur . Sebagai Pria Kadang harus mengakui bahwa kita bukan makhluk sempurna yang selalu beralasan dengan niat .<br><br>Tapi susah juga ngejelasin ke orang yang ga pernah d gulung sedangkan doi apa2 idupnya udeh enak , jadi bikin skenario juga udh disiapin<br>bahkan buzzernya pun tetep jilat meski perlakuannya salah , termasuk gue .",0
2025-03-27T15:18:07Z,ygcodv_xrUE,@ridhoprihartanto4867,"<a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=988"">16:28</a> bobon syok sampe nyebut masak 3x 😮",0
2025-03-27T15:17:48Z,ygcodv_xrUE,@nurul5608,:) bebelit banget astaghfirullah,0
2025-03-27T15:17:10Z,ygcodv_xrUE,@beby12____,Konten bobon dlu,0
2025-03-27T15:16:58Z,ygcodv_xrUE,@annasputra4014,njir drama chindo,0
2025-03-27T15:14:53Z,ygcodv_xrUE,@HaylenGaskinz-y7w,"Masha allah tabarakallah<br>Sdah berkali2 saya lihat video bg bobon ini asli saya sangat suka dgn hati nurani nya yg slalu lembut dan tulus ikhlas dlam membuat konten dan skalian bg bobon ini mnurut saya ini lah contoh manusia yg punya hati nurani bisa memanusiakan manusia,<br>Dlam arti kata dia ini ngonten bkan seolah2 karna uang atau nyari uang tapi dia ngonten karna di sangat senang bisa membuat orang lain senang bahagia dan tertolong oleh nya bgitu,<br>apa lagi dia ini selalu tepat di mna tempat dia mengarah kan duit dan harta nya kepada orang yg sdang sangat2 membutuh kan pertolongan nya,<br>Nah d sni lh kta mlihat dan tnpa kta sadari cara allah swt menilai hamba nya<br>Mau itu org nakal peminum pemabuk lh sgala mcam atau agama nya apa tapi kalau akhlak dan hati nurani nya slalu tulus dlam mmbantu org lain,<br>Sya rasa di stu lh allah swt slalu mlipat gandakan rezeki org tersebut krna allah kan suka dgn org yg lembut hati nya dan suka bersedekah kpada org yg mmbutuh kan,<br>Dan tanpa kita sadari di sini lh pula yg tdak org sdari bahwa apa yg ia lakukan itu seolah2 membukakan pintu rezeki atau menyampaikan rezeki dri allah swt,<br>Doa terbaik lh untuk abg bobon smoga shat slalu dan smoga dia slalu dalam lindungan dan keridhoan allah swt amin.🤲",0
2025-03-27T15:13:57Z,ygcodv_xrUE,@hertiansbastian5570,muka bobon bete denger ocehan willi 😂,1
2025-03-27T15:13:46Z,ygcodv_xrUE,@Kelama91,Saling memanfaatkan mslh.....😅😅😅,0
2025-03-27T15:13:04Z,ygcodv_xrUE,@ObyKurniawan-n7s,Di menit 1.00.20 yang dibilang bang bobon itu bener.,0
2025-03-27T15:12:41Z,ygcodv_xrUE,@vinividivici8040,"Willi, cow membahaskaan dirinya dg menggunakan namanya adalah 🥴🥴🥴🥴",0
2025-03-27T15:12:19Z,ygcodv_xrUE,@liv4576,jujur gua ngak pernah nonton kontennya willie salim.<br><br>malah sering nonton kontennya mas bobon santoso,0
2025-03-27T15:10:50Z,ygcodv_xrUE,@Gunawan-q5u4w,muter muter bae ampun😂,0
2025-03-27T15:10:49Z,ygcodv_xrUE,@rayarahman2922,Tetep semangat koh Wili,0
2025-03-27T15:10:24Z,ygcodv_xrUE,@MHafizhNijam,"Wkwkw <a href=""https://www.youtube.com/watch?v=ygcodv_xrUE&amp;t=2071"">34:31</a> ngomong nya kek stater becak😂 nyendat nyendat😅😂",1
2025-03-27T15:09:23Z,ygcodv_xrUE,@badsham4067,Biar lah dia buat masak dia mampu sedekah smbil2 konten YouTube,0
2025-03-27T15:08:46Z,ygcodv_xrUE,@AdeHendra-s3n,Bang bbon ni jujur kaliii,0
2025-03-27T15:07:48Z,ygcodv_xrUE,@dekadyp206,Saya mencium bau bau bakal ada yang mualaf nih 😂😂😂😂,1
2025-03-27T15:07:43Z,ygcodv_xrUE,@NinaAura-c5y,Mas bonbon tak pernah gagal...mantap🎉🎉🎉,0
2025-03-27T15:07:16Z,ygcodv_xrUE,@AyaMusicCrb,"Mereka yang ngonten mereka juga yang dapat AdSense mereka juga yang tenar, kita jangan menjudge satu sama lain, doakan dan terus semangatkan para konten kreator, food vloger dsb , semoga kedepan jangan ada seilisih faham antar sesama konten kreator saling bahu membahi/colab aja.. Gue pribadi mah masing masing aja, tapi ya jangan sampai berlarut larut juga, harus ada segera titik terang dan saling pendewasaan satu sama lain.. Semangat bang bobon, willy salim, kalian luar biasa dedikasinya untuk indonesia tercinta 🌹",0
2025-03-27T15:06:53Z,ygcodv_xrUE,@ahmadrozak8646,Wilie Salim siapa sii ya😂😂,0
2025-03-27T15:06:25Z,ygcodv_xrUE,@AndiRahman-n6k,salut gua dengan mas bobon.kalau memang dia tidak suka sama orang langsung bilang sama orangnya.tidak ngomong di belakang.,0
